CGCG074-064    ALMA           178.30             0.15*           2018/12/06_1   0.69580            NA             member.uid___A001_X133d_X41e.CGCG_074-064_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC1068        ALMA           682.09             14.83           2015/07/27_1   0.07333            24.545         member.uid___A001_X12b_X235.ari_l.NGC_1068_sci.spw0_1_2_3_682090MHz.12m.cont.I.pbcor.fits
NGC1194        VLA            1.49               1.16*           1988/05/03_1   14.87814           NA             1.51I14.9_AB0488_1988MAY03_1_143.U10.1M.imfits
NGC1194        VLA            4.86               1.54            1988/05/03_1   4.39947            8.343          4.89I4.41_AB0488_1988MAY03_1_90.5U4.55M.imfits
NGC1194        VLA            33                 1.08            NA             0.19-0.50          27.000         Kamali, 2017, A&A, 605:A84
NGC1194        ALMA           85.92              1.39            2016/06/29_1   1.42548            10.702         member.uid___A001_X5a3_X15b.ari_l.NGC_1194_sci.spw0_1_2_3_85918MHz.12m.cont.I.pbcor.fits
NGC1194        ALMA           179.97             1.47            2018/11/16_1   0.35696            12.719         member.uid___A001_X133d_X3fa.NGC_1194_sci.spw23_25_27_29.cont.I.pbcor.fits
NGC1194        SMA            225.54             9.57*           2023/03/16_1   6.35662            NA             SMA_this_work
NGC1194        ALMA           228.91             1.68            2016/10/24_1   0.21804            27.370         member.uid___A001_X87d_X5c7.NGC1194_sci.spw19_21_23_25.cont.I.pbcor.fits
NGC1320        VLA            1.43               3.02            1992/12/31_1   1.41685            14.759         1.45I1.41_AM0384_1992DEC31_1_106.U53.2S.imfits
NGC1320        VLA            4.86               1.79            1994/07/24_1   1.47556            41.115         4.89I1.47_AM451_1994JUL24_1_22.9U2.72M.imfits
NGC1320        VLA            4.86               4.84            2003/02/20_1   14.75524           17.267         4.89I14.8_AA281_2003FEB20_1_111.U4.58M.imfits
NGC1320        VLA            8.44               1.04            1992/12/31_1   0.23544            22.510         8.46I0.23_AM0384_1992DEC31_1_39.9U42.6S.imfits
NGC1320        VLA            8.46               0.65            1999/08/20_1   0.23850            28.833         8.49I0.23_AF0360_1999AUG20_1_19.1U53.1S.imfits
NGC1320        SMA            225.54             10.63*          2023/03/16_1   5.99118            NA             SMA_this_work
NGC1320        ALMA           234.47             0.76            2018/01/06_1   0.15507            13.716         member.uid___A001_X1296_X8ff.ngc_1320_sci.spw19_23_25_27.cont.I.pbcor.fits
NGC2273        VLA            1.43               37.22           1993/01/16_1   1.30693            19.077         1.45I1.32_AM0384_1993JAN16_1_110.U58.5S.imfits
NGC2273        VLA            1.46               38.81           1982/05/29_1   1.30019            18.738         1.49I1.31_ULVE_1982MAY29_1_107.U55.1S.imfits
NGC2273        VLA            1.49               34.53           1987/08/09_1   1.40998            18.759         1.51I1.42_AS0286_1987AUG09_1_122.U51.4S.imfits
NGC2273        VLA            1.49               34.19           1991/08/09_1   1.24902            18.605         1.51I1.24_AY0044_1991AUG09_1_66.8U49.1S.imfits
NGC2273        VLA            1.67               48.06           1990/09/28_1   11.57662           17.962         1.69I13.4_VL0061_1990SEP28_1_87.2U3.60M.imfits
NGC2273        VLA            1.67               46.34           1990/09/29_1   7.71535            18.196         1.69I8.27_VL0061_1990SEP29_1_93.4U4.45M.imfits
NGC2273        VLA            4.86               17.37           1984/02/15_1   1.52190            24.014         4.89I1.59_AM0104_1984FEB15_1_118.U2.88M.imfits
NGC2273        VLA            4.86               16.00           1987/11/21_1   1.32647            34.549         4.89I1.37_AS0286_1987NOV21_1_118.U2.73M.imfits
NGC2273        VLA            4.86               16.12           1991/12/18_1   1.26230            58.507         4.89I1.26_AY0044_1991DEC18_1_59.9U1.23M.imfits
NGC2273        VLA            4.86               16.82           1999/10/31_1   1.25632            38.333         4.89I1.27_AU079_1999OCT31_1_49.5U3.01M.imfits
NGC2273        VLA            4.89               9.77            1982/05/29_1   0.38539            52.042         4.91I0.38_ULVE_1982MAY29_1_75.4U51.1S.imfits
NGC2273        VLA            4.99               1.15            1998/02/17_1   0.48250            48.603         5.01I0.49_GL022_1998FEB17_1_9.19U37.2S.imfits
NGC2273        VLA            8.44               6.43            1993/01/16_1   0.22370            78.295         8.46I0.22_AM0384_1993JAN16_1_43.0U43.0S.imfits
NGC2273        VLA            8.46               4.56            1999/08/20_1   0.22653            83.116         8.49I0.22_AF0360_1999AUG20_1_22.1U52.8S.imfits
NGC2273        VLA            8.46               7.96            2003/05/18_1   0.27961            81.927         8.49I0.28_AA278_2003MAY18_1_48.5U50.7S.imfits
NGC2273        VLA            8.46               11.65           2003/05/20_1   0.23113            71.878         8.49I0.23_AA278_2003MAY20_1_98.9U42.6S.imfits
NGC2273        VLA            8.46               12.68           2003/05/24_1   0.22941            80.603         8.49I0.23_AA278_2003MAY24_1_73.1U43.0S.imfits
NGC2273        VLA            8.46               12.38           2003/05/26_1   0.22233            79.811         8.49I0.22_AA278_2003MAY26_1_76.7U43.0S.imfits
NGC2273        VLA            8.46               8.92            2003/09/18_1   0.75324            68.403         8.49I0.76_AA0278_2003SEP18_1_79.7U1.36M.imfits
NGC2273        VLA            14.94              2.92            2002/07/29_1   0.39469            11.687         14.9I0.40_AA270_2002JUL29_1_144.U1.43M.imfits
NGC2273        VLA            14.94              6.71            2002/10/14_1   1.38495            9.919          14.9I1.40_AA274_2002OCT14_1_329.U1.43M.imfits
NGC2273        VLA            22.46              2.60            2002/07/29_1   0.27970            10.687         22.4I0.27_AA270_2002JUL29_1_138.U55.6S.imfits
NGC2273        VLA            22.46              4.25            2002/10/14_1   0.97482            10.933         22.4I0.97_AA274_2002OCT14_1_167.U55.7S.imfits
NGC2273        VLA            33                 2.69            NA             0.19-0.50          9.276          Kamali, 2017, A&A, 605:A84
